year,runtime,director,star,rating
2001,131,Jean-Jacques Annaud,Jude Law,7.5
2015,133,Michael Mann,Chris Hemsworth,5.4
2003,135,Jon Amiel,Aaron Eckhart,5.5
2012,95,Pete Travis,Karl Urban,7.1
2009,140,Michael Mann,Christian Bale,7.0
2021,114,Navot Papushado,Karen Gillan,6.0
2015,119,Robert Schwentke,Shailene Woodley,6.2
2011,114,Martin Campbell,Ryan Reynolds,5.5
2009,94,Rob Letterman,Reese Witherspoon,6.4
2020,103,Paul W.S. Anderson,Milla Jovovich,5.2
2021,100,Taylor Sheridan,Angelina Jolie,6.0
2001,100,Simon West,Angelina Jolie,5.7
2005,95,Adam Shankman,Vin Diesel,5.6
2010,140,Harald Zwart,Jackie Chan,6.2
2022,91,Jalmari Helander,Jorma Tommila,7.6
2009,138,Ron Howard,Tom Hanks,6.7
2000,109,Donald Petrie,Sandra Bullock,6.3
2014,102,Frank Miller,Mickey Rourke,6.5
2016,108,Burr Steers,Lily James,5.8
2014,100,Adam Wingard,Dan Stevens,6.7
2011,127,Shawn Levy,Hugh Jackman,7.0
2013,96,Robert Schwentke,Ryan Reynolds,5.6
2005,136,Michael Bay,Scarlett Johansson,6.8
2009,115,McG,Christian Bale,6.5
2016,115,Justin Kurzel,Michael Fassbender,5.6
2022,95,Andrew Baird,Travis Fimmel,3.9
2003,138,Ang Lee,Eric Bana,5.6
2011,113,Marcus Nispel,Jason Momoa,5.1
2008,92,Sylvester Stallone,Sylvester Stallone,7.0
2006,104,Stefen Fangmeier,Ed Speleers,5.1
2008,150,Andrew Adamson,Ben Barnes,6.5
2013,117,Paul Feig,Sandra Bullock,6.6
2003,103,Mark Steven Johnson,Ben Affleck,5.3
2016,120,Robert Schwentke,Shailene Woodley,5.7
2004,126,Antoine Fuqua,Clive Owen,6.3
2011,105,Rupert Wyatt,James Franco,7.6
2008,88,Doug Liman,Hayden Christensen,6.1
2019,132,Michael Dougherty,Kyle Chandler,6.0
2021,109,Doug Liman,Tom Holland,5.7
2006,104,Brett Ratner,Patrick Stewart,6.6
