movie_id,year,certificate,runtime,director,star,rating
tt0471043,2007.0,,84 min,Harold Gasnier,"Michael Howe, 
David Bowles, 
Alecky Blythe, 
Siri Ingul",8.2
tt3778340,2013.0,Not Rated,95 min,Alex Maisonette,"Michael Wright, 
Alex Maisonette, 
Felipe Luciano, 
Rocky Passafaro",4.2
tt5483924,2018,,,Bryan G. Thompson,Bryan G. Thompson,
tt0475300,2005.0,,,Lee Bennett Sobel,"Papadogiannis Antonios, 
Rob Bouton, 
Artie Brennan, 
Phil Burke",3.7
tt6105978,2017,,,Marko Zaror,"Peter Stormare, Marko Zaror, Byron Gibson, Dean Alexandrou",
tt3856162,2016,,,Joseph Pepitone,"Chris Mulkey, 
Keith Collins",
tt2302150,2012.0,,90 min,Wilbur Eddings,"Stephen Preston, 
Claire Winters, 
Jonathan Pienaar, 
Merle Shenk",4.6
tt2315144,2015.0,Not Rated,82 min,John Reign,"Thomas Daniel, 
Terry Sasaki, 
Tabetha Ray, 
Travis Cannan",4.5
tt12906940,2020.0,,66 min,Ashley Hays Wright,"Ashley Hays Wright, 
David Owen Wright, 
Scout Wright, 
Jaina Wright",5.2
tt1134669,2011.0,,,J.D. Cochran,"Taimak, 
Garret Sato, 
Theresa June-Tao, 
Kimberly Arland",5.5
tt3779828,2015.0,Unrated,86 min,Alan Walsh,"Glen Baker, 
Alan Sherlock, 
Dermot Magennis, 
Sarah Carroll",6.4
tt1283930,2010.0,Not Rated,85 min,Keith Mosher,"Dean Mauro, 
Chris Schaub, 
Rob Marrocco, 
Tommy Lynch",7.6
tt1833090,2009.0,,77 min,"Nika Akhvlediani, 
Dato Borchkhadze, 
Tornike Bziava, 
Vaska Kartvelishvili, 
Archil Kavtaradze, 
Giorgi Liponava, 
Qeti Machavariani, 
Giorgi Maskharashvili, 
Nikakoi, 
Tako Shavgulidze, 
Kote Takaishvili, 
Dato Ujmajuridze, 
Irakli Chkhikvadze","Nutsa Kukhianidze, 
Gika Lomidze, 
Nia Grdzelidze, 
Maka Shalikashvili",5.3
tt0439709,2005.0,Not Rated,98 min,Richard Lowry,"Blane Wheatley, 
Monica Himmel, 
Brent Moss, 
Kimberly Page",6.8
tt6174142,2017.0,,110 min,R.R. Baker,"Tatiane Amnuar, 
J'Antonio Baguez, 
Brittany Baker, 
R.R. Baker",3.9
tt0383939,2004.0,,82 min,Conrad Glover,"Aida Angotti, 
Ray Breen, 
Lamont Copeland, 
Madison Cruz",5.3
tt2482294,2017,,,Tina Gharavi,,
tt0116628,2000.0,,86 min,Kenneth Guertin,"John Reneaud, 
Ed Oldani, 
Jeff Boerger, 
Paige Stapleton",6.3
tt18076798,2022.0,,,"Nuhu Dalyop, 
Jide 'JBlaze' Oyegbile","Ademola Adedoyin, 
Abayomi Alvin, 
Samuel Asa'ah, 
Efe Irele",
tt4717872,2015,,,Ezequiel Martinez Jr.,"Ruben V. Suarez, 
Clifford Anthony Marks",
tt1532568,2009.0,,95 min,Michael Heneghan,"Alex Albrecht, 
Ron Blasdell, 
Tom Hogan, 
Christopher Magee",7.2
tt1633341,2010.0,R,,Damian Chapa,"James Bardo, 
Jairo Osuna, 
Damian Chapa, 
Sal Poidomani",7.0
tt1504353,2011.0,,,Shaun Paul Costello,"Greg Bell, 
Alan Ruck, 
Shaun Paul Costello, 
Joe Gariffo",6.2
tt16345408,2021.0,,119 min,Matthew Zaleski,"Matthew Zaleski, 
Robbie Barnes, 
Nicholas D'Amico, 
Burt Culver",
